timestamp,S1,S2
4.25000,-5.75E-02,-9.14E-03
4.26000,-1.13E-01,1.01E-01
4.27000,-3.28E-02,1.66E-01
4.28000,1.44E-01,1.10E-01
4.29000,2.80E-01,-6.42E-02
4.30000,-2.61E-02,2.18E-01
4.31000,-1.23E-02,-4.96E-02
4.32000,-5.34E-02,9.23E-02
4.33000,2.78E-02,6.61E-02
4.34000,1.70E-01,-3.01E-02
4.35000,-1.86E-02,1.14E-01
4.36000,-2.76E-02,5.75E-02
4.37000,5.36E-02,8.10E-02
4.38000,1.04E-01,1.31E-01
4.39000,5.02E-02,8.78E-02
4.40000,-2.72E-02,-9.10E-04
4.41000,1.37E-01,2.27E-02
4.42000,-6.76E-02,8.07E-02
4.43000,1.13E-01,5.97E-02
4.44000,3.60E-02,7.73E-02
4.45000,-4.93E-02,4.21E-02
4.46000,-1.90E-02,1.65E-01
4.47000,9.85E-02,1.11E-02
4.48000,1.52E-01,2.94E-02
4.49000,7.42E-02,1.01E-01
4.50000,7.16E-02,7.95E-02
4.51000,-8.63E-02,5.78E-02
4.52000,-1.82E-02,4.47E-02
4.53000,5.06E-02,1.44E-02
4.54000,9.33E-02,6.50E-02
4.55000,2.44E-02,1.05E-01
4.56000,6.90E-02,1.13E-01
4.57000,1.21E-02,8.03E-02
4.58000,2.34E-03,4.33E-03
4.59000,5.70E-02,5.78E-02
4.60000,8.84E-02,4.55E-02
4.61000,5.40E-02,9.56E-02
4.62000,4.13E-02,8.37E-02
4.63000,3.53E-02,5.52E-02
4.64000,4.24E-02,7.02E-02
4.65000,-7.66E-02,5.19E-02
4.66000,2.44E-02,5.41E-02
4.67000,1.42E-01,4.40E-02
4.68000,7.38E-02,7.95E-02
4.69000,3.00E-02,1.02E-01
4.70000,1.17E-02,8.29E-02
4.71000,-6.84E-02,2.64E-02
4.72000,8.35E-02,2.75E-02
4.73000,1.57E-01,9.64E-02
4.74000,1.21E-02,1.63E-02
4.75000,1.60E-03,4.03E-02
4.76000,2.78E-02,1.29E-01
4.77000,3.60E-02,1.37E-01
4.78000,3.08E-02,1.41E-02
4.79000,2.78E-02,1.78E-02
4.80000,5.89E-02,1.27E-01
4.81000,7.08E-02,2.68E-02
4.82000,1.43E-02,5.52E-02
4.83000,8.02E-02,9.34E-02
4.84000,1.28E-01,6.35E-02
4.85000,-1.20E-01,1.89E-02
4.86000,-6.54E-02,3.84E-02
4.87000,1.42E-01,1.75E-01
4.88000,1.00E-01,5.30E-02
4.89000,9.66E-02,-2.04E-02
4.90000,-1.26E-02,9.79E-02
4.91000,-1.23E-02,1.42E-01
4.92000,-7.32E-02,3.95E-03
4.93000,9.66E-02,1.11E-02
4.94000,2.99E-01,4.40E-02
4.95000,-1.26E-01,9.98E-02
4.96000,-5.45E-02,1.63E-01
4.97000,1.55E-01,1.93E-02
4.98000,-3.64E-03,7.54E-02
4.99000,7.68E-02,4.14E-02
5.00000,5.96E-02,9.57E-03
5.01000,-1.21E-01,1.26E-01
5.02000,1.43E-02,1.78E-02
5.03000,2.05E-01,1.28E-01
5.04000,2.78E-02,8.33E-02
5.05000,1.32E-01,1.74E-02
5.06000,4.95E-02,3.05E-02
5.07000,-1.96E-01,9.83E-02
5.08000,-3.99E-02,2.19E-02
5.09000,1.61E-01,3.02E-02
5.10000,1.97E-01,1.84E-01
5.11000,-4.86E-02,2.12E-02
5.12000,9.33E-02,7.43E-02
5.13000,5.02E-02,9.41E-02
5.14000,-1.21E-01,-2.04E-02
5.15000,3.15E-02,3.91E-02
5.16000,6.26E-02,7.36E-02
5.17000,4.84E-02,1.60E-01
5.18000,1.20E-01,5.34E-02
5.19000,1.40E-01,-3.38E-02
5.20000,-9.63E-03,1.62E-01
5.21000,-6.69E-02,2.27E-02
5.22000,-4.30E-01,3.76E-02
5.23000,8.99E-01,1.33E-01
5.24000,-4.22E-01,-1.48E-02
5.25000,3.68E-01,3.54E-02
5.26000,-7.00E-01,2.31E-01
5.27000,4.45E-01,-1.28E-03
5.28000,7.68E-01,-6.57E-02
5.29000,-1.06E+00,2.15E-01
5.30000,1.11E+00,-7.16E-02
5.31000,-2.21E+00,2.00E-01
5.32000,3.19E+00,2.94E-02
5.33000,-1.50E+00,9.34E-02
5.34000,-7.17E-01,-1.72E-01
5.35000,1.05E+00,4.01E-01
5.36000,-5.64E-02,3.80E-02
5.37000,-2.35E-01,-1.98E-01
5.38000,2.98E-01,1.36E-01
5.39000,-1.46E-01,4.46E-01
5.40000,1.42E-01,-4.11E-01
5.41000,5.14E-02,7.54E-02
5.42000,7.46E-02,2.54E-01
5.43000,-3.08E-01,1.95E-01
5.44000,4.08E-01,2.08E-03
5.45000,-8.56E-02,-2.43E-01
5.46000,1.43E-01,2.13E-04
5.47000,-5.87E-02,1.03E+00
5.48000,1.63E-01,-1.12E+00
5.49000,-2.50E-01,7.00E-01
5.50000,3.75E-01,6.38E-02
5.51000,-2.55E-01,-3.69E-01
5.52000,9.37E-02,5.35E-01
5.53000,3.10E-01,-2.00E-01
5.54000,-9.79E-02,2.08E-01
5.55000,2.52E-02,-1.63E-01
5.56000,-2.08E-01,4.26E-01
5.57000,3.81E-01,-3.57E-02
5.58000,-1.23E-01,-2.17E-01
5.59000,1.24E-02,1.92E-01
5.60000,2.28E-01,1.02E-01
5.61000,-2.48E-01,1.91E-01
5.62000,2.96E-01,-6.45E-02
5.63000,-5.19E-02,-1.78E-02
5.64000,-9.38E-02,4.01E-01
5.65000,1.73E-01,-3.70E-01
5.66000,1.07E-01,2.29E-01
5.67000,-4.07E-02,1.83E-01
5.68000,-1.40E-03,-1.36E-01
5.69000,1.02E-01,2.22E-01
5.70000,-6.73E-02,2.98E-02
5.71000,1.72E-01,2.72E-02
5.72000,5.66E-02,1.15E-01
5.73000,6.46E-03,5.30E-02
5.74000,-1.50E-01,9.79E-02
5.75000,1.32E-01,4.06E-02
5.76000,1.88E-01,-5.74E-02
5.77000,-9.12E-02,1.50E-01
5.78000,1.86E-01,5.52E-02
5.79000,-2.27E-02,-2.49E-02
5.80000,-1.77E-01,2.73E-01
5.81000,1.24E-01,3.46E-02
5.82000,2.30E-01,-8.36E-02
5.83000,-1.31E-01,1.69E-01
5.84000,1.12E-01,-7.24E-02
5.85000,1.78E-01,1.80E-01
5.86000,-2.13E-01,1.96E-01
5.87000,3.45E-02,-1.60E-01
5.88000,2.19E-01,7.09E-02
5.89000,-1.54E-01,1.04E-01
5.90000,1.28E-01,1.75E-01
5.91000,2.27E-01,-1.74E-02
5.92000,-1.15E-01,3.05E-02
5.93000,2.33E-02,1.27E-01
5.94000,-7.10E-02,-5.37E-02
5.95000,1.34E-01,1.17E-01
5.96000,1.07E-01,1.15E-01
5.97000,-1.90E-02,7.99E-02
5.98000,1.28E-02,3.99E-02
5.99000,3.60E-02,7.17E-02
6.00000,-1.30E-02,3.65E-02
6.01000,2.88E-01,3.31E-02
6.02000,-9.26E-03,1.31E-01
6.03000,-1.93E-01,-1.18E-02
6.04000,8.77E-02,6.35E-02
6.05000,1.12E-01,1.26E-01
6.06000,6.15E-02,4.29E-02
6.07000,1.15E-01,1.14E-01
6.08000,-1.02E-01,8.22E-02
6.09000,1.22E-03,1.71E-02
6.10000,7.76E-02,3.80E-02
6.11000,4.95E-02,5.78E-02
6.12000,1.04E-01,2.90E-02
6.13000,1.02E-02,7.06E-02
6.14000,1.97E-03,8.52E-02
6.15000,7.01E-02,1.15E-01
6.16000,7.16E-02,5.56E-02
6.17000,8.33E-03,2.38E-02
6.18000,-1.20E-01,5.78E-02
6.19000,9.52E-02,6.50E-02
6.20000,2.05E-01,5.26E-02
6.21000,7.31E-02,1.11E-01
6.22000,-1.23E-01,8.85E-02
6.23000,-3.96E-02,-2.52E-02
6.24000,1.91E-01,6.05E-02
6.25000,1.14E-01,9.98E-02
6.26000,-1.20E-01,9.08E-02
6.27000,-8.51E-03,6.98E-02
6.28000,1.24E-01,3.65E-02
6.29000,7.61E-02,6.79E-02
6.30000,7.42E-02,5.56E-02
6.31000,8.71E-03,4.55E-02
6.32000,-3.62E-02,7.58E-02
6.33000,4.91E-02,6.01E-02
6.34000,8.32E-02,9.49E-02
6.35000,-7.01E-03,6.05E-02
6.36000,3.38E-02,3.43E-02
6.37000,1.12E-01,7.92E-02
6.38000,3.47E-03,5.22E-02
6.39000,3.42E-02,9.86E-02
6.40000,1.08E-01,6.57E-02
6.41000,-6.50E-02,-4.58E-02
6.42000,-1.11E-02,1.65E-01
6.43000,1.48E-01,1.41E-02
6.44000,3.12E-02,9.79E-02
6.45000,-2.90E-03,1.02E-01
6.46000,3.23E-02,3.80E-02
6.47000,5.62E-02,3.31E-02
6.48000,4.54E-02,4.62E-02
6.49000,5.06E-02,8.55E-02
6.50000,-4.77E-03,5.37E-02
6.51000,4.65E-02,6.83E-02
6.52000,6.86E-02,8.22E-02
6.53000,6.63E-02,9.38E-02
6.54000,9.83E-03,1.71E-02
6.55000,3.45E-02,9.19E-03
6.56000,4.21E-03,1.00E-01
6.57000,4.69E-02,7.28E-02
6.58000,7.21E-03,8.29E-02
6.59000,6.78E-02,1.00E-01
6.60000,1.10E-01,5.37E-02
6.61000,8.33E-03,3.69E-02
6.62000,-2.76E-02,2.94E-02
6.63000,9.25E-02,6.72E-02
6.64000,2.52E-02,7.51E-02
6.65000,-4.02E-03,5.19E-02
6.66000,3.86E-02,8.22E-02
6.67000,1.04E-01,5.86E-02
6.68000,3.34E-02,2.75E-02
6.69000,3.47E-03,1.23E-01
6.70000,8.24E-02,6.64E-02
6.71000,1.97E-03,6.05E-02
6.72000,-4.82E-02,3.54E-02
6.73000,1.06E-01,5.22E-02
6.74000,9.22E-02,8.44E-02
6.75000,5.40E-02,5.26E-02
6.76000,-1.37E-02,7.92E-02
6.77000,4.99E-02,7.51E-02
6.78000,2.67E-02,6.35E-02
6.79000,3.12E-02,4.03E-02
6.80000,2.70E-02,2.49E-02
6.81000,2.37E-02,8.70E-02
6.82000,4.73E-02,9.49E-02
6.83000,5.44E-02,5.86E-02
6.84000,2.74E-02,7.24E-02
6.85000,1.58E-02,8.48E-02
6.86000,1.19E-01,1.67E-02
6.87000,6.60E-02,2.38E-02
6.88000,-3.99E-02,8.48E-02
6.89000,3.34E-02,6.98E-02
6.90000,7.21E-03,6.76E-02
6.91000,4.73E-04,1.11E-01
6.92000,8.84E-02,5.97E-02
6.93000,6.75E-02,4.77E-02
6.94000,7.01E-02,6.83E-02
6.95000,2.33E-02,3.16E-02
6.96000,1.36E-02,4.32E-02
6.97000,5.14E-02,9.11E-02
6.98000,3.83E-02,7.36E-02
6.99000,3.45E-02,7.69E-02
7.00000,-2.46E-02,5.11E-02
7.01000,8.09E-02,9.38E-02
7.02000,5.77E-02,2.75E-02
7.03000,-2.98E-02,7.28E-02
7.04000,1.57E-01,5.56E-02
7.05000,5.77E-02,1.41E-02
7.06000,-4.67E-02,5.75E-02
7.07000,3.47E-03,1.11E-01
7.08000,-2.76E-04,1.03E-01
7.09000,5.29E-02,1.09E-01
7.10000,9.33E-02,1.59E-02
7.11000,7.61E-02,-2.75E-02
7.12000,9.52E-02,1.03E-01
7.13000,1.69E-02,7.66E-02
7.14000,-2.91E-02,4.29E-02
7.15000,-6.50E-04,8.33E-02
7.16000,-4.07E-02,8.82E-02
7.17000,4.95E-02,3.35E-02
